,Date,Open,High,Low,Adj Close,Volume,Dividends,Change,Dollar,Dollar_rate,S&P500,DJIA,Nasdaq,interest,SamSung_close
391,2021-07-29,78800,79400,78800,78626.22656,14360453,0,-0.25,1154.8,0.4,4400.640137,34930.92969,14762.58008,1.261000037,79000
392,2021-07-30,78900,78900,78500,78128.59375,13823411,0,-0.63,1147.4,-0.64,4419.149902,35084.53125,14778.25977,1.269000053,78500
393,2021-08-02,79200,79500,78700,78924.80469,11739124,0,1.02,1147.5,0.01,4395.259766,34935.46875,14672.67969,1.238999963,79300
394,2021-08-03,79400,81400,79300,81014.875,24339360,0,2.65,1151.5,0.35,4387.160156,34838.16016,14681.07031,1.174000025,81400
395,2021-08-04,82200,83100,81800,82507.77344,25642368,0,1.84,1150.7,-0.07,4423.149902,35116.39844,14761.29004,1.175999999,82900
396,2021-08-05,83300,83300,82000,81711.5625,18485469,0,-0.97,1145.8,-0.43,4402.660156,34792.67188,14780.53027,1.184000015,82100
397,2021-08-06,81900,82500,81300,81114.39844,13342623,0,-0.73,1143.5,-0.2,4429.100098,35064.25,14895.12012,1.217000008,81500
398,2021-08-09,81500,82300,80900,81114.39844,15522581,0,0,1142.3,-0.11,4436.52002,35208.51172,14835.75977,1.289999962,81500
399,2021-08-10,82300,82400,80100,79820.54688,20362639,0,-1.6,1145,0.24,4432.350098,35101.85156,14860.17969,1.317000031,80200
400,2021-08-11,79600,79800,78500,78128.59375,30241137,0,-2.12,1148.5,0.3,4436.75,35264.67188,14788.08984,1.342000008,78500
401,2021-08-12,77100,78200,76900,76635.6875,42365223,0,-1.91,1155,0.56,4442.410156,35484.96875,14765.13965,1.328999996,77000
402,2021-08-13,75800,76000,74100,74047.99219,61270643,0,-3.38,1158.9,0.34,4460.830078,35499.85156,14816.25977,1.366999984,74400
403,2021-08-17,74000,75100,74000,73848.9375,30944847,0,-0.27,1167.8,0.76,4468,35515.37891,14822.90039,1.297000051,74200
404,2021-08-18,73900,74600,73100,73550.35938,29192631,0,-0.4,1174.9,0.6,4448.080078,35343.28125,14656.17969,1.258000016,73900
405,2021-08-19,73500,74400,73100,72754.14063,22166298,0,-1.08,1172.7,-0.19,4400.27002,34960.69141,14525.91016,1.273000002,73100
406,2021-08-20,73500,73900,72500,72356.03125,22364803,0,-0.55,1174.5,0.15,4405.799805,34894.12109,14541.79004,1.241999984,72700
407,2021-08-23,73300,74000,73000,72953.19531,19384648,0,0.83,1176.7,0.19,4441.669922,35120.07813,14714.66016,1.25999999,73300
408,2021-08-24,73900,75700,73900,75242.3125,21016913,0,3.14,1174,-0.23,4479.529785,35335.71094,14942.65039,1.254999995,75600
409,2021-08-25,76200,76600,74900,75341.84375,22319664,0,0.13,1168,-0.51,4486.22998,35366.26172,15019.7998,1.289999962,75700
410,2021-08-26,76100,76200,74600,74247.04688,16671494,0,-1.45,1166.5,-0.13,4496.189941,35405.5,15041.86035,1.342000008,74600
411,2021-08-27,74300,75000,73800,73948.46094,15172748,0,-0.4,1168.1,0.14,4470,35213.12109,14945.80957,1.342000008,74300
412,2021-08-30,75400,75500,74200,74247.04688,12686999,0,0.4,1170.8,0.23,4509.370117,35455.80078,15129.5,1.312000036,74600
413,2021-08-31,74900,76700,74300,76337.10938,24630370,0,2.82,1164.4,-0.55,4528.790039,35399.83984,15265.88965,1.284999967,76700
414,2021-09-01,76700,77100,75900,76436.63281,16114775,0,0.13,1162.8,-0.14,4522.680176,35360.73047,15259.24023,1.30400002,76800
415,2021-09-02,76800,76800,75700,75640.42188,15347486,0,-1.04,1157.5,-0.46,4524.089844,35312.53125,15309.37988,1.302000046,76000
416,2021-09-03,76400,76700,76000,76237.58594,12096419,0,0.79,1159.7,0.19,4536.950195,35443.82031,15331.17969,1.29400003,76600
417,2021-09-06,76800,77600,76600,76934.27344,12861180,0,0.91,1156.4,-0.29,4535.430176,35369.08984,15363.51953,1.322000027,77300
418,2021-09-07,77100,77100,75900,75739.94531,13239401,0,-1.55,1157.3,0.08,4535.430176,35369.08984,15363.51953,,76100
419,2021-09-08,76000,76400,75600,75939,11798147,0,0.26,1157.9,0.05,4520.029785,35100,15374.33008,1.370000005,76300
420,2021-09-09,76400,76600,75000,74943.73438,17600770,0,-1.31,1164.5,0.57,4514.069824,35031.07031,15286.63965,1.333999991,75300
421,2021-09-10,75300,75600,74800,74943.73438,10103212,0,0,1170.1,0.48,4493.279785,34879.37891,15248.25,1.299000025,75300
422,2021-09-13,75200,76300,75100,75939,11397775,0,1.33,1170.4,0.03,4458.580078,34607.71875,15115.49023,1.340999961,76300
423,2021-09-14,77100,77700,76600,76237.58594,18167057,0,0.39,1174.3,0.33,4468.72998,34869.62891,15105.58008,1.324000001,76600
424,2021-09-15,77400,77400,76400,76635.6875,12829128,0,0.52,1172.2,-0.18,4443.049805,34577.57031,15037.75977,1.27699995,77000
425,2021-09-16,77300,77400,76100,75739.94531,13067622,0,-1.17,1171.7,-0.04,4480.700195,34814.39063,15161.53027,1.30400002,76100
426,2021-09-17,76300,77200,75900,76834.74219,16289502,0,1.45,1169.1,-0.22,4473.75,34751.32031,15181.91992,1.33099997,77200
427,2021-09-23,77500,77600,76800,77033.79688,17055590,0,0.26,1177.6,0.72,4432.990234,34584.87891,15043.96973,1.370000005,77400
428,2021-09-24,77600,77700,77100,76934.27344,12247274,0,-0.13,1181.7,0.35,4448.97998,34764.82031,15052.24023,1.409999967,77300
